plate,fiber,ra,dec,z_qso,spectrum,rest_frame,dla_z,column_density,std_column_density,dla_confidence
500,176,149.649920,1.865855,2.939078,3926.449354,996.793986,2.229864,20.716353,0.151293,0.275000
504,588,157.693180,2.696440,2.926747,4171.574461,1062.348649,2.431502,20.853833,0.098893,1.000000
505,141,159.351680,1.659449,3.099490,4505.053989,1098.930372,2.705820,20.600606,0.041352,1.000000
506,134,160.807390,1.382156,3.150881,4726.068369,1138.569935,2.887624,20.470265,0.054817,1.000000
506,137,160.718010,1.293494,2.436769,3970.086781,1155.179988,2.265760,20.635881,0.072609,1.000000
506,220,160.487660,1.154914,2.995828,4734.782132,1184.931442,2.894792,20.915396,0.086915,1.000000
506,422,160.364430,2.655695,3.592921,5246.866328,1142.381135,3.316028,20.366368,0.071050,1.000000
507,147,163.216960,1.826027,3.077101,4778.592532,1172.056454,2.930830,20.630386,0.074927,1.000000
509,251,166.595820,1.515433,3.754517,4780.793661,1005.526657,2.932641,20.453659,0.072241,1.000000
511,264,169.594860,2.043440,3.947875,5417.513472,1094.917201,3.456401,20.420314,0.126998,0.912500
513,93,174.440300,1.454195,4.063732,5040.806191,995.472518,3.146525,20.509483,0.064762,1.000000
513,93,174.440300,1.454195,4.063732,5422.505485,1070.851563,3.460508,20.916732,0.079223,1.000000
513,93,174.440300,1.454195,4.063732,5661.089226,1117.967748,3.656765,20.378902,0.139838,0.875000
513,428,173.478730,2.405817,3.982191,5971.727749,1198.614755,3.912293,20.508081,0.046601,1.000000
515,425,177.992710,3.061595,4.697700,5324.759536,934.545433,3.380103,20.573540,0.150992,0.450000
515,425,177.992710,3.061595,4.697700,6029.759633,1058.279588,3.960030,20.708820,0.136338,0.312500
515,425,177.992710,3.061595,4.697700,6161.692202,1081.434996,4.068557,20.578354,0.124109,0.262500
516,139,180.434850,1.269872,3.234394,4477.133042,1057.325550,2.682852,20.989140,0.069329,1.000000
517,196,181.210910,2.355149,2.882915,4563.520439,1175.282080,2.753914,20.623197,0.045529,1.000000
517,259,181.414810,1.732404,3.870706,5263.807518,1080.707279,3.329964,20.543652,0.174984,0.587500
