PLATE,FIB,RA,DEC
659,124,16.8642,-10.9620
2328,482,16.9131,0.0600
694,122,16.9676,-1.1514
659,183,16.9790,-9.9623
659,192,16.9948,-10.3213
659,181,17.0080,-10.0343
694,128,17.0121,-1.1628
2328,520,17.0160,0.1132
396,640,17.0636,0.1191
397,382,17.0946,0.1967
659,167,17.0956,-10.3276
422,200,17.0990,14.2472
1499,286,17.1096,-0.7673
2825,260,17.1383,14.5196
694,457,17.2133,0.8549
397,333,17.2418,0.8541
659,510,17.2747,-9.4805
2328,142,17.2988,-0.4334
2864,320,17.3374,-10.0242
694,521,17.3603,1.0667
694,532,17.3680,0.9620
422,515,17.3694,14.8225
422,514,17.3808,14.7914
2864,347,17.3888,-9.1717
1082,615,17.3940,0.8057
2825,216,17.5448,14.2840
659,50,17.6292,-10.9021
2328,43,17.6509,-1.1483
1499,374,17.6587,0.7483
1498,631,17.6851,0.1700
1081,254,17.6872,-1.0656
2825,174,17.7915,15.5957
694,79,17.8079,-0.0551
2060,351,17.8142,25.8085
695,341,17.8465,0.6091
423,268,17.9558,14.0377
2060,292,17.9648,24.9349
2825,164,17.9687,15.0805
2060,339,18.0017,26.5011
660,281,18.0124,-10.6046
423,334,18.0242,15.4439
423,280,18.1129,14.6398
695,386,18.1273,0.2449
2060,346,18.1416,26.4048
397,513,18.1556,0.3249
1081,468,18.1779,0.3547
1499,126,18.1925,-1.2188
2328,26,18.2005,-0.5638
397,510,18.2130,0.1559
2825,502,18.2274,15.9900
423,279,18.2742,14.3146
695,333,18.2837,0.8750
2825,529,18.3324,16.7323
695,378,18.4449,0.8540
1081,521,18.4525,1.1903
1080,357,18.4608,0.0227
660,395,18.4665,-9.5975
1499,502,18.4880,0.6396
2825,11,18.5324,14.3234
659,15,18.5397,-10.4735
2864,493,18.5682,-9.5507
2864,486,18.6316,-9.1686
2825,6,18.6414,14.4493
1081,46,18.6661,-1.1817
1080,392,18.6692,0.1731
660,246,18.7149,-10.6727
660,255,18.7242,-10.6594
2060,430,18.7257,26.3064
660,430,18.8046,-9.0925
1080,399,18.8049,0.3370
2825,77,18.8384,15.4148
2061,269,18.8391,31.2918
660,423,18.8523,-9.3987
2864,96,18.8668,-10.5318
660,245,18.8851,-10.8834
2060,214,18.8888,24.6084
1500,395,18.8897,0.0656
2825,29,18.8900,15.2150
695,183,18.9144,-0.2333
695,125,18.9259,-0.7581
2864,537,18.9378,-8.7925
660,463,18.9399,-9.2493
660,195,18.9425,-10.0294
695,196,18.9692,0.1003
2061,283,18.9717,30.6112
695,163,18.9853,-0.6021
695,167,19.0030,-0.0162
2061,262,19.0127,31.4240
423,136,19.0249,13.5673
1080,281,19.0498,-1.0402
2061,331,19.0630,32.5781
2060,176,19.0665,25.7861
1499,598,19.0915,0.0532
695,95,19.1600,-0.8563
1081,16,19.1617,-0.6523
2060,451,19.1683,26.7261
2061,239,19.1935,31.4140
695,145,19.2442,-0.3430
1499,13,19.2522,-0.8279
2061,422,19.2849,31.8941
695,541,19.3165,0.4408
1499,28,19.3523,-0.3557
695,594,19.3714,0.3635
1080,250,19.3862,-0.9670
2061,184,19.4360,31.0550
2060,486,19.4585,26.2392
2060,516,19.5041,26.0840
2061,192,19.5767,31.6847
398,211,19.6166,-0.8777
696,317,19.6336,-0.2317
660,523,19.6607,-8.4940
696,319,19.6907,-0.2359
398,455,19.6973,0.7819
1500,411,19.6988,0.9903
2060,102,19.7462,25.3182
695,610,19.7472,1.1867
695,616,19.7654,0.8404
661,315,19.7705,-10.0867
2061,127,19.7765,30.6637
424,314,19.7878,14.1875
1080,124,19.8036,-1.1513
660,590,19.9221,-9.0506
2060,549,19.9509,26.1493
1080,450,19.9588,1.2540
2063,351,19.9786,40.0891
2060,5,19.9794,24.9565
424,270,20.0201,14.1856
695,635,20.0421,0.3856
424,261,20.0585,14.5183
424,439,20.0746,14.7115
398,637,20.0833,0.1266
424,286,20.0849,13.4093
424,292,20.1494,13.9141
695,77,20.1645,-0.0443
1080,556,20.1857,0.1917
1080,524,20.1868,1.1351
2061,138,20.1882,30.3640
1080,41,20.1941,-1.1862
696,423,20.2194,0.7210
2060,10,20.2382,24.7017
696,235,20.2419,0.0347
1080,525,20.2532,1.1425
399,308,20.3119,-0.2771
2062,259,20.3392,37.8336
2061,529,20.3526,33.1127
2329,363,20.3932,8.2432
2061,103,20.3969,31.1187
399,384,20.4489,0.4552
1501,289,20.4653,-0.6760
424,494,20.4835,14.8066
424,200,20.5050,14.4969
2061,579,20.5175,32.4627
424,376,20.5463,15.1540
424,201,20.5516,13.4737
1501,317,20.5665,-0.6932
398,18,20.5839,-1.0990
2060,635,20.5853,26.2020
424,498,20.5962,14.7431
696,200,20.6115,0.0576
424,213,20.6276,13.5772
424,215,20.6330,13.6613
2329,416,20.6881,8.1460
1080,605,20.7309,1.0543
661,214,20.7551,-10.4508
1079,279,20.7678,-0.2744
2329,215,20.7733,6.5131
2061,76,20.8379,31.3908
696,453,20.8432,0.8217
424,122,20.8651,13.3299
2062,418,20.8900,39.3447
696,486,20.9086,0.5029
696,140,20.9426,-0.6539
2061,582,20.9526,32.2686
399,375,21.0157,0.7424
696,132,21.0238,-0.7355
399,245,21.0520,-1.0138
2062,500,21.0586,39.2846
661,156,21.0597,-9.7200
2061,589,21.0627,32.0337
1079,234,21.0647,-0.5551
696,526,21.0758,1.1443
2329,170,21.0988,6.6875
661,447,21.1222,-8.9255
2329,87,21.2014,6.2081
2329,91,21.2098,6.4953
2329,494,21.2337,7.6519
424,111,21.2862,14.2896
696,93,21.2879,-0.5655
661,89,21.2893,-10.7169
399,142,21.3214,-0.3080
661,523,21.3240,-8.4118
425,305,21.3411,14.2775
661,55,21.3786,-10.4611
2062,526,21.4183,39.4442
2329,525,21.4250,8.3031
696,53,21.4410,-0.9740
2878,368,21.4504,-8.5955
1501,454,21.4954,0.4521
661,114,21.5151,-10.0208
2329,81,21.5254,5.9453
425,355,21.5275,14.4739
2878,294,21.5332,-10.6337
2329,109,21.5518,6.7208
2878,435,21.5695,-9.2944
697,277,21.6182,-0.0649
399,550,21.6397,0.5861
2329,577,21.6689,7.9377
697,354,21.6689,0.4226
696,72,21.6788,0.0442
2878,271,21.6836,-9.9886
2329,556,21.6841,7.4271
2063,524,21.6998,40.7119
2878,247,21.7084,-10.6739
697,392,21.7113,0.1593
424,575,21.7348,15.6119
697,297,21.7371,-0.7166
425,270,21.7404,14.0352
1079,176,21.7421,-0.2007
697,299,21.7529,-0.7664
1501,490,21.7819,0.1715
1079,515,21.8100,0.5471
2062,58,21.8234,37.4899
697,399,21.8378,0.4964
425,332,21.8717,15.3567
661,20,21.8958,-10.5858
425,382,21.9199,15.0695
424,590,21.9217,15.1155
425,278,21.9492,14.0954
399,72,21.9513,-0.2259
697,238,21.9718,-0.5902
1079,503,21.9738,0.4212
1079,95,21.9833,-0.9294
2878,224,21.9906,-10.2279
697,241,21.9924,-0.8603
1501,549,22.0071,0.7843
696,2,22.0116,-0.8265
1079,544,22.0309,0.4927
1079,537,22.0413,1.1576
2063,55,22.0875,38.7953
425,368,22.1028,15.2672
696,25,22.1077,-0.4867
2878,195,22.1436,-9.9347
697,378,22.1562,1.2145
697,368,22.1893,1.2725
696,627,22.2062,0.0955
2878,164,22.2214,-10.2591
2878,175,22.2384,-9.7367
424,630,22.2751,14.9853
2063,590,22.2870,40.3718
2062,638,22.3598,38.7794
2063,614,22.3731,40.6972
1501,599,22.3930,1.2193
697,417,22.4270,0.8144
697,467,22.4533,0.5350
2063,79,22.4594,39.5881
425,466,22.5117,15.0213
425,445,22.5515,15.5328
1502,337,22.5568,0.0482
697,195,22.5596,-0.1109
662,305,22.5664,-10.0581
425,191,22.5876,14.3730
2063,24,22.6616,39.3050
697,211,22.6656,-0.9571
2063,36,22.6724,39.3376
1079,80,22.6809,-0.1265
697,202,22.7214,-1.1884
2062,602,22.7788,39.3275
697,442,22.7841,0.8801
2878,51,22.7844,-10.3220
662,243,22.8415,-10.4868
1502,258,22.9091,-0.1709
1078,407,22.9155,0.4378
1502,400,22.9450,0.7914
697,527,22.9711,0.9492
1915,320,22.9813,-9.8659
1915,317,22.9903,-10.0939
2878,3,23.0263,-10.5200
1078,256,23.0416,-0.6481
1915,354,23.0472,-9.4015
2878,12,23.0674,-10.4071
1078,248,23.0976,-0.5492
697,521,23.1049,1.2356
1502,278,23.1606,-0.7127
697,88,23.1610,-0.9066
662,200,23.1782,-9.7171
425,564,23.1844,15.2494
425,574,23.1990,15.4302
400,484,23.2058,0.4409
662,137,23.2593,-10.3588
662,175,23.2803,-9.7059
697,565,23.2892,1.1842
2064,352,23.2902,24.2088
662,163,23.2917,-10.1336
1915,273,23.2969,-10.1026
698,359,23.3013,0.0332
425,554,23.3241,14.7168
1078,449,23.3870,0.4106
1502,226,23.3947,-1.2220
1915,242,23.4206,-10.5698
2878,18,23.4224,-10.3257
2878,610,23.4386,-8.7408
697,110,23.4447,-0.4262
426,308,23.4487,13.5224
2064,334,23.4541,24.5582
2878,629,23.4599,-8.9196
400,193,23.4667,-0.2864
2878,637,23.4680,-9.5535
1078,219,23.5053,-0.3529
697,584,23.5118,0.6622
698,315,23.5363,-0.0877
1502,163,23.5512,-0.5012
1502,189,23.5641,-1.0493
1502,195,23.5742,-0.8434
