ix96629, plate, fiber, Z_START, Z_END, RA, DEC
351,998,312,2.807591,3.323122,154.789560,6.306395
352,2036,62,2.200000,2.234439,174.058490,37.322284
353,781,151,2.200000,3.016707,191.237420,62.028609
354,1380,197,3.126201,3.478958,214.030370,38.531560
355,1689,129,2.895385,3.748357,257.039400,21.286866
356,420,119,2.200000,2.606768,14.250797,14.627186
357,1173,621,2.687656,3.847842,249.300050,38.193126
358,837,47,4.071663,4.082046,173.587820,3.866923
359,1368,471,2.200000,2.249150,178.043450,45.307168
360,2115,442,2.400559,2.875800,207.209310,26.417852
361,1273,216,2.291928,3.285106,138.028260,33.185937
362,1926,606,2.200000,2.542042,126.116760,23.685541
363,271,345,3.994021,4.348663,153.954180,0.338888
364,723,589,2.857006,3.820924,342.719420,-8.766730
365,1952,2,2.338492,2.466455,153.606880,32.386006
366,891,326,2.413896,2.819113,120.270890,34.835216
367,2147,573,3.033205,4.303925,161.646860,9.927664
368,459,460,2.796211,3.982492,48.058248,-6.449672
369,2096,19,3.442734,4.364651,159.830350,34.751272
370,1408,194,3.258438,4.441020,246.187670,27.238549
371,870,540,2.743263,3.605668,142.796370,44.626832
372,647,56,2.264001,2.719846,354.914540,-10.594266
373,570,614,2.475765,2.580147,146.805720,4.394127
374,1233,360,2.200000,2.385602,188.163880,10.434447
375,538,322,3.405045,4.425289,222.783090,2.937678
376,1215,154,2.200000,2.261496,144.753370,39.504840
377,1957,73,2.276049,3.607084,156.691790,35.529284
378,1377,301,2.270773,2.703491,205.096780,40.159764
379,875,381,2.711507,3.773691,158.168920,50.203047
380,1434,186,2.954125,3.858682,162.204410,44.654363
381,1407,322,2.715783,3.208767,243.726530,30.008288
382,1338,100,3.287956,3.318776,247.688340,34.990160
383,1051,401,3.171097,4.275858,230.540250,45.773804
384,1267,535,2.200000,2.597046,127.253500,28.467839
385,1360,171,2.200000,2.240607,157.780660,41.215023
386,477,378,2.243025,3.117667,144.473930,2.666765
387,605,273,2.311695,3.215687,209.281340,61.709633
388,353,177,3.309733,4.439525,257.560520,59.390695
389,2096,437,2.843708,3.984383,158.484220,35.962540
390,373,447,2.204427,2.872325,331.784700,1.023687
391,2011,605,3.076152,4.038764,196.500210,29.559976
392,1009,61,2.777029,3.994688,160.240350,51.751631
393,1757,451,2.200000,2.870722,125.189970,8.057289
394,2090,155,2.247509,3.272236,162.705740,35.755709
395,372,269,2.200000,2.257803,329.063260,-0.516081
396,1581,24,2.211814,2.930993,236.954670,32.414575
397,1158,140,2.200000,2.866148,207.686150,57.278577
398,490,286,2.200000,2.976068,163.177120,65.208733
399,2096,19,3.442734,4.364651,159.830350,34.751272
400,819,530,2.536310,2.990918,253.381720,36.404479
401,2008,205,3.066777,3.553802,175.053890,31.753390
402,2011,605,3.076152,4.038764,196.500210,29.559976
403,2027,565,2.885531,3.736130,179.844850,39.604691
404,339,29,2.539569,2.743329,197.392430,-3.555114
405,1279,613,2.200000,2.531023,194.098220,50.563930
406,597,98,2.200000,2.438735,174.114080,63.781177
407,1574,519,2.971461,4.095530,246.416040,25.266334
408,1466,158,3.108188,4.043991,208.977310,45.072502
409,1017,525,2.200000,2.935022,179.702610,56.075943
410,1930,205,2.200000,2.877860,129.515630,24.445341
411,1402,47,3.331620,4.346723,235.918270,34.295679
412,551,489,2.200000,3.217192,133.893330,51.109097
413,749,177,3.209692,4.190006,358.434420,14.590347
414,434,515,2.844593,4.111093,117.766480,42.703229
415,1187,37,4.027480,4.409964,131.215530,5.307727
416,1436,257,3.084608,4.012093,164.640870,44.531445
417,2011,631,2.617015,3.431884,195.690840,30.042449
418,952,203,2.228868,2.680157,172.391430,58.258169
419,920,168,2.790097,3.517301,221.538970,-2.283580
420,1983,291,2.467770,3.491511,162.784550,33.841780
